Model: SAM2
  miou
    Translation(+4)|sev1: mean=32.1539 (n=4952)
    Translation(-4)|sev1: mean=31.9527 (n=4952)
    PadCrop(+4)|sev1: mean=30.1537 (n=4952)
    PadCrop(-4)|sev1: mean=32.8675 (n=4952)
    Scale(0.95)|sev1: mean=30.9968 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=30.2292 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=32.0410 (n=4952)
    Rotation(+10)|sev1: mean=109.5563 (n=4952)
    Rotation(-10)|sev1: mean=106.4416 (n=4952)
    TextOverlay|sev1: mean=32.0353 (n=4952)
    BoxOverlay|sev1: mean=46.2013 (n=4952)
    RandomText|sev1: mean=32.2034 (n=4952)
    LowPassKeep(0.18)|sev1: mean=33.0836 (n=4952)
    HighPassKeep(0.18)|sev1: mean=55.9176 (n=4952)
    LowBandNoise(0.18)|sev1: mean=31.9340 (n=4952)
    HighBandNoise(0.18)|sev1: mean=31.5004 (n=4952)
    AllBandNoise(0.18)|sev1: mean=31.6680 (n=4952)
    Translation(+8)|sev2: mean=31.4711 (n=4952)
    Translation(-8)|sev2: mean=31.5315 (n=4952)
    PadCrop(+8)|sev2: mean=30.9590 (n=4952)
    PadCrop(-8)|sev2: mean=33.4867 (n=4952)
    Scale(0.90)|sev2: mean=30.2278 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=27.8595 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=30.1563 (n=4952)
    Rotation(+20)|sev2: mean=166.5580 (n=4952)
    Rotation(-20)|sev2: mean=160.3487 (n=4952)
    TextOverlay|sev2: mean=32.3964 (n=4952)
    BoxOverlay|sev2: mean=66.1943 (n=4952)
    RandomText|sev2: mean=33.5020 (n=4952)
    LowPassKeep(0.28)|sev2: mean=31.8576 (n=4952)
    HighPassKeep(0.28)|sev2: mean=57.8714 (n=4952)
    LowBandNoise(0.28)|sev2: mean=31.5913 (n=4952)
    HighBandNoise(0.28)|sev2: mean=31.3780 (n=4952)
    AllBandNoise(0.28)|sev2: mean=31.2017 (n=4952)
    Translation(+12)|sev3: mean=32.9162 (n=4952)
    Translation(-12)|sev3: mean=30.9964 (n=4952)
    PadCrop(+12)|sev3: mean=31.8661 (n=4952)
    PadCrop(-12)|sev3: mean=33.8522 (n=4952)
    Scale(0.85)|sev3: mean=29.2001 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=25.1856 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=27.3873 (n=4952)
    Rotation(+30)|sev3: mean=190.7910 (n=4952)
    Rotation(-30)|sev3: mean=186.3607 (n=4952)
    TextOverlay|sev3: mean=33.4772 (n=4952)
    BoxOverlay|sev3: mean=88.3518 (n=4952)
    RandomText|sev3: mean=34.2954 (n=4952)
    LowPassKeep(0.38)|sev3: mean=31.5773 (n=4952)
    HighPassKeep(0.38)|sev3: mean=74.7827 (n=4952)
    LowBandNoise(0.38)|sev3: mean=31.5903 (n=4952)
    HighBandNoise(0.38)|sev3: mean=32.2508 (n=4952)
    AllBandNoise(0.38)|sev3: mean=32.0388 (n=4952)

Model: SAM2_GTBOX
  miou
    Base|sev0: mean=0.6903 (n=4952)
    Translation(+4)|sev1: mean=0.6926 (n=4952)
    Translation(-4)|sev1: mean=0.6923 (n=4952)
    PadCrop(+4)|sev1: mean=0.6964 (n=4952)
    PadCrop(-4)|sev1: mean=0.6928 (n=4952)
    Scale(0.95)|sev1: mean=0.6902 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.6954 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.6935 (n=4952)
    Rotation(+10)|sev1: mean=0.4493 (n=4952)
    Rotation(-10)|sev1: mean=0.4724 (n=4952)
    TextOverlay|sev1: mean=0.6825 (n=4952)
    BoxOverlay|sev1: mean=0.5702 (n=4952)
    RandomText|sev1: mean=0.6747 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.6857 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.6366 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.6916 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.6899 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.6898 (n=4952)
    Translation(+8)|sev2: mean=0.6944 (n=4952)
    Translation(-8)|sev2: mean=0.6917 (n=4952)
    PadCrop(+8)|sev2: mean=0.6953 (n=4952)
    PadCrop(-8)|sev2: mean=0.6951 (n=4952)
    Scale(0.90)|sev2: mean=0.6885 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.6915 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.6937 (n=4952)
